City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,lakatoro,-16.0999,167.4164,25.51,84,61,1.48,VU,1718167241
254,ataq,14.5377,46.8319,27.18,44,19,5.26,YE,1718167241
255,parkano,62.0167,23.0167,11.02,71,15,1.82,FI,1718167241
256,copala,16.65,-98.9833,25.79,83,94,1.39,MX,1718167241
257,suva,-18.1416,178.4415,25.71,83,75,2.57,FJ,1718167241
258,shasta lake,40.6804,-122.3708,33.4,32,0,2.76,US,1718167241
259,antsohihy,-14.8796,47.9875,24.79,65,37,1.06,MG,1718167241
260,sorong,-0.8833,131.25,28.32,71,96,2.62,ID,1718167241
261,tripoli,32.8752,13.1875,32.93,29,97,6.26,LY,1718167241
262,waingapu,-9.6567,120.2641,28.69,62,28,6.42,ID,1718167241
263,codrington,-38.2667,141.9667,12.24,55,99,5.32,AU,1718167241
264,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,90,75,5.0,RU,1718167241
265,dorog,47.721,18.7364,16.49,73,86,0.28,HU,1718167241
266,mogadishu,2.0371,45.3438,27.93,74,20,9.26,SO,1718167241
267,isafjordur,66.0755,-23.124,6.42,75,62,4.12,IS,1718167241
268,cervantes,-39.05,-67.3833,11.76,73,100,2.06,AR,1718167241
269,kudymkar,59.0173,54.656,23.66,71,100,5.08,RU,1718167241
270,saldanha,-33.0117,17.9442,13.03,92,0,3.98,ZA,1718167241
271,puerto quijarro,-17.7833,-57.7667,20.23,57,6,0.99,BO,1718167241
272,nuuk,64.1835,-51.7216,0.49,100,100,8.49,GL,1718166960
273,yeniseysk,58.4497,92.1703,24.41,43,79,1.34,RU,1718167242
274,barcelos,41.5388,-8.6151,16.58,87,6,2.08,PT,1718167242
275,urengoy,65.9667,78.3667,13.28,56,100,2.84,RU,1718167242
276,gulsehir,38.7459,34.6252,20.18,52,0,3.09,TR,1718167242
277,primorsko-akhtarsk,46.0497,38.1747,26.45,56,19,4.86,RU,1718167242
278,akjoujt,19.6969,-14.4164,29.99,21,2,7.81,MR,1718167242
279,fortaleza,-3.7227,-38.5247,26.23,89,20,2.57,BR,1718167176
280,benalla,-36.55,145.9833,12.29,50,24,5.94,AU,1718167242
281,ridgecrest,35.6225,-117.6709,33.92,19,0,4.47,US,1718166957
282,prado,-17.3411,-39.2208,20.33,85,3,1.07,BR,1718167242
283,namibe,-15.1961,12.1522,20.49,71,0,1.66,AO,1718167242
284,sierre,46.2919,7.5356,12.35,76,75,0.51,CH,1718167242
285,baruun-urt,46.6806,113.2792,15.63,75,100,4.82,MN,1718167242
286,robore,-18.3333,-59.75,21.13,60,29,1.66,BO,1718167242
287,constantia,44.1833,28.65,24.28,68,95,3.61,RO,1718167184
288,suhbaatar,50.2314,106.2078,18.47,41,53,4.37,MN,1718167242
289,sahab,31.8721,36.005,23.35,38,0,1.54,JO,1718167242
290,egilsstadir,65.2653,-14.3948,1.95,100,100,2.06,IS,1718167242
291,tamiahua,21.2667,-97.45,26.86,85,100,3.04,MX,1718167242
292,marsassoum,12.8275,-15.9806,27.05,67,100,4.16,SN,1718167242
293,mili,6.0815,171.735,29.08,74,95,5.46,MH,1718167242
294,santana,-0.0583,-51.1817,26.1,94,75,1.54,BR,1718167242
295,rincon,32.296,-81.2354,24.98,78,20,1.54,US,1718167147
296,kuusamo,65.9667,29.1833,11.02,82,75,1.03,FI,1718167243
297,kuruman,-27.4524,23.4325,7.22,53,35,3.12,ZA,1718167243
298,klyuchi,52.2667,79.1667,17.13,68,99,3.72,RU,1718167243
299,wynyard,-41.0,145.7167,10.4,62,24,5.08,AU,1718167243
300,darwin,-12.4611,130.8418,31.08,27,92,5.14,AU,1718167243
301,puerto deseado,-47.7503,-65.8938,5.28,89,26,4.03,AR,1718167243
302,alaghsas,17.0187,8.0168,26.23,57,66,1.25,NE,1718167243
303,prince rupert,54.3161,-130.3201,9.83,88,100,8.23,CA,1718167243
304,orange walk,17.8333,-88.8333,26.12,97,98,1.19,BZ,1718167243
305,manay,7.215,126.5397,29.58,67,92,3.61,PH,1718167243
306,labytnangi,66.6572,66.4183,16.88,51,96,0.8,RU,1718167243
307,piti village,13.4626,144.6933,30.17,85,40,2.06,GU,1718167243
308,ad dilam,23.9915,47.1627,35.23,11,0,4.98,SA,1718167243
309,usinsk,65.9939,57.5281,13.93,64,100,3.13,RU,1718167243
310,qarazhal,48.0078,70.7903,21.49,46,4,6.41,KZ,1718167243
311,galesong,-5.3166,119.3661,32.01,75,91,3.44,ID,1718167243
312,kili,5.6439,169.1211,29.04,76,35,4.61,MH,1718167243
313,weiser,44.251,-116.9693,27.11,46,2,4.5,US,1718167243
314,kill devil hills,36.0307,-75.676,21.66,82,0,3.09,US,1718167243
315,al hadd,26.2456,50.6542,35.99,49,0,2.06,BH,1718167243
316,xinyi,22.373,110.9475,29.87,77,93,5.43,CN,1718167243
317,tukrah,32.5341,20.5791,31.69,24,0,3.12,LY,1718167243
318,anse royale,-4.7333,55.5167,27.32,83,20,1.54,SC,1718167244
319,kodiak,57.79,-152.4072,7.73,87,100,4.12,US,1718167244
320,malpe,13.35,74.7167,25.61,80,100,0.79,IN,1718167152
321,plettenberg bay,-34.0527,23.3716,14.3,69,26,2.88,ZA,1718167244
322,east london,-33.0153,27.9116,23.52,25,0,5.66,ZA,1718167207
323,broken hill,-31.95,141.4333,16.84,52,5,7.39,AU,1718167244
324,alice springs,-23.7,133.8833,24.75,23,0,4.63,AU,1718167244
325,mesyagutovo,55.5303,58.2528,23.45,67,79,4.01,RU,1718167244
326,bonab,37.3404,46.0561,20.25,52,40,2.06,IR,1718167244
